poi_id,month,season,seasonal_suitability,morning_modifier,afternoon_modifier,evening_modifier,weather_risk_proxy,season_note,confidence
POI0001,January,peak_winter,89,-3,0,9,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0001,February,peak_winter,96,0,7,1,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0001,March,summer_shoulder,84,15,-9,0,low,Indicative summer shoulder suitability for cultural site POIs.,high
POI0001,April,summer_shoulder,69,0,-4,1,low,Indicative summer shoulder suitability for cultural site POIs.,high
POI0001,May,summer_shoulder,71,0,-3,-13,low,Indicative summer shoulder suitability for cultural site POIs.,high
POI0001,June,monsoon,66,15,-6,9,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0001,July,monsoon,69,-3,-10,16,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0001,August,monsoon,81,-4,1,0,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0001,September,monsoon,71,-1,5,-10,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0001,October,post_monsoon,83,-10,-15,-3,low_to_medium,"Transitional month; generally improving conditions (estimated, not live weather data).",high
POI0001,November,peak_winter,90,-12,-5,-11,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0001,December,peak_winter,82,-8,9,8,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0002,January,peak_winter,92,-8,-12,-4,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0002,February,peak_winter,81,0,6,12,low,"Peak tourist season; pleasant weather typically expected (estimated, not live weather data).",high
POI0002,March,summer_shoulder,78,-5,-4,2,low,Indicative summer shoulder suitability for religious site POIs.,high
POI0002,April,summer_shoulder,65,-1,11,-9,low,Indicative summer shoulder suitability for religious site POIs.,high
POI0002,May,summer_shoulder,74,9,-16,0,low,Indicative summer shoulder suitability for religious site POIs.,high
POI0002,June,monsoon,70,-4,-6,-7,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0002,July,monsoon,76,5,0,-1,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0002,August,monsoon,67,0,-12,2,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
POI0002,September,monsoon,66,0,-14,6,medium,Indoor/covered activity; less affected by monsoon rain (estimated).,high
