origin_city,destination,mode,departure_window,arrival_window,duration_minutes,estimated_cost_per_person,transfer_count,comfort_score,availability_status_type,source_status
Mumbai,Goa,flight,morning,evening,42,3520,0,92,limited,synthetic_indicative
Mumbai,Goa,flight,evening,morning,41,3490,1,90,seasonal,synthetic_indicative
Mumbai,Goa,train,evening,afternoon,610,510,0,53,typically_available,synthetic_indicative
Mumbai,Goa,train,morning,early_morning,622,740,0,45,typically_available,synthetic_indicative
Mumbai,Goa,train,afternoon,early_morning,567,700,1,55,typically_available,synthetic_indicative
Mumbai,Goa,bus,evening,afternoon,686,390,0,48,typically_available,synthetic_indicative
Mumbai,Goa,bus,afternoon,night,742,420,0,53,typically_available,synthetic_indicative
Mumbai,Goa,bus,night,morning,621,420,0,56,seasonal,synthetic_indicative
Mumbai,Goa,car,night,night,503,2940,0,57,seasonal,synthetic_indicative
Mumbai,Goa,car,morning,night,576,3340,0,75,seasonal,synthetic_indicative
Mumbai,Goa,car,afternoon,afternoon,539,3250,0,66,typically_available,synthetic_indicative
Pune,Goa,flight,night,early_morning,37,2300,0,86,typically_available,synthetic_indicative
Pune,Goa,flight,morning,evening,39,2700,0,83,typically_available,synthetic_indicative
Pune,Goa,train,evening,morning,494,450,0,59,typically_available,synthetic_indicative
Pune,Goa,train,afternoon,evening,433,550,1,45,typically_available,synthetic_indicative
Pune,Goa,train,morning,night,491,600,0,45,typically_available,synthetic_indicative
Pune,Goa,bus,afternoon,night,593,410,0,49,typically_available,synthetic_indicative
Pune,Goa,bus,afternoon,night,627,320,0,47,typically_available,synthetic_indicative
Pune,Goa,bus,early_morning,evening,618,310,0,47,seasonal,synthetic_indicative
Pune,Goa,car,evening,early_morning,509,3000,0,66,limited,synthetic_indicative
Pune,Goa,car,night,afternoon,483,2900,0,65,seasonal,synthetic_indicative
Pune,Goa,car,afternoon,morning,427,2200,0,76,typically_available,synthetic_indicative
Bengaluru,Goa,flight,night,morning,49,4170,1,86,typically_available,synthetic_indicative
Bengaluru,Goa,flight,evening,early_morning,47,4560,0,86,limited,synthetic_indicative
Bengaluru,Goa,train,night,morning,644,790,0,70,typically_available,synthetic_indicative
Bengaluru,Goa,train,afternoon,morning,613,750,0,64,limited,synthetic_indicative
Bengaluru,Goa,bus,evening,morning,863,640,0,49,typically_available,synthetic_indicative
Bengaluru,Goa,bus,early_morning,afternoon,763,490,0,55,typically_available,synthetic_indicative
Delhi,Goa,flight,early_morning,evening,159,9850,0,76,typically_available,synthetic_indicative
Delhi,Goa,flight,afternoon,afternoon,141,10590,0,70,typically_available,synthetic_indicative
Delhi,Goa,flight,evening,morning,173,14230,0,70,typically_available,synthetic_indicative
Delhi,Goa,train,evening,afternoon,2252,1890,0,70,seasonal,synthetic_indicative
Delhi,Goa,train,early_morning,morning,2297,1870,0,58,limited,synthetic_indicative
Hyderabad,Goa,flight,afternoon,evening,54,3580,0,72,typically_available,synthetic_indicative
