traveller_id,origin_city,traveller_type,adults,children,seniors,total_party_size,pace,total_budget,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,travel_month,nights,archetype,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,split
T000001,Chennai,friends,6,0,0,6,balanced,134658,high,budget,no_restriction,vegetarian,public_transport,March,6,senior_traveller,66,71,83,53,56,8,31,66,57,70,62,46,train
T000002,Chennai,solo,1,0,0,1,balanced,26955,medium,premium,no_restriction,no_preference,public_transport,April,3,culture_traveller,15,68,74,96,32,37,46,18,12,47,22,66,test
T000003,Jaipur,solo,1,0,0,1,balanced,25964,high,standard,no_restriction,no_preference,fastest,February,3,beach_traveller,64,1,79,78,49,53,74,46,32,68,52,22,train
T000004,Bengaluru,solo,1,0,0,1,balanced,5000,low,budget,no_restriction,no_preference,fastest,November,1,adventure_traveller,65,51,83,87,53,85,49,15,52,72,62,13,train
T000005,Kochi,seniors,1,0,2,3,packed,26819,medium,premium,no_restriction,vegetarian,balanced,November,2,food_traveller,79,87,45,54,45,15,67,68,62,59,12,39,test
T000006,Ahmedabad,family,2,2,1,5,packed,89674,high,standard,no_restriction,no_preference,fastest,June,3,family_traveller,76,74,78,40,64,54,39,44,60,67,80,91,train
T000007,Ahmedabad,solo,1,0,0,1,packed,7754,low,standard,no_restriction,no_preference,balanced,February,2,wellness_traveller,67,28,65,72,76,10,91,23,3,55,37,82,test
T000008,Hyderabad,couple,2,0,0,2,easy_going,44512,medium,budget,no_restriction,no_preference,lowest_cost,December,7,balanced_traveller,75,58,55,60,72,59,52,70,62,75,59,42,train
T000009,Ahmedabad,seniors,1,0,3,4,easy_going,132862,low,luxury,no_restriction,no_preference,balanced,November,6,senior_traveller,22,13,67,12,50,69,58,19,80,71,73,13,train
T000010,Jaipur,solo,1,0,0,1,packed,12148,medium,budget,no_restriction,vegetarian,private_transport,May,2,wellness_traveller,73,58,83,87,97,8,16,39,49,60,71,48,train
T000011,Bengaluru,family,4,3,0,7,easy_going,101774,high,budget,no_restriction,vegetarian,fastest,March,3,senior_traveller,6,59,14,82,31,14,92,16,28,15,11,2,test
T000012,Jaipur,solo,1,0,0,1,packed,68672,medium,premium,no_restriction,jain,lowest_cost,September,7,food_traveller,98,94,61,47,43,35,60,85,36,68,25,43,train
T000013,Delhi,family,4,1,1,6,balanced,44898,medium,premium,no_restriction,vegetarian,fastest,November,1,culture_traveller,38,88,53,56,44,15,36,63,95,91,62,95,test
T000014,Chennai,solo,1,0,0,1,easy_going,30161,high,standard,no_restriction,vegetarian,balanced,September,3,nightlife_traveller,72,8,93,13,95,80,59,78,79,94,25,59,train
T000015,Indore,family,3,1,1,5,packed,46031,medium,standard,no_restriction,vegan,balanced,December,3,family_traveller,65,41,77,67,33,89,76,27,36,31,15,14,train
T000016,Jaipur,seniors,2,0,1,3,packed,23760,low,budget,wheelchair_friendly_preference,non_vegetarian,fastest,January,3,beach_traveller,54,0,94,78,58,72,37,41,0,75,62,26,train
T000017,Kochi,solo,1,0,0,1,packed,30136,low,luxury,no_restriction,vegetarian,public_transport,January,2,food_traveller,83,88,52,63,53,18,66,66,41,39,0,48,validation
T000018,Kolkata,friends,6,0,0,6,easy_going,51396,low,budget,no_restriction,vegetarian,public_transport,November,4,senior_traveller,70,74,79,66,77,2,25,44,62,55,35,68,train
T000019,Kolkata,couple,2,0,0,2,balanced,23425,medium,standard,no_restriction,no_preference,balanced,January,3,wellness_traveller,79,70,85,55,84,45,47,57,58,69,46,60,train
T000020,Ahmedabad,family,3,2,0,5,balanced,49349,low,premium,no_restriction,no_preference,lowest_cost,December,4,nightlife_traveller,79,69,43,57,88,59,93,82,27,56,54,9,train
T000021,Nagpur,solo,1,0,0,1,balanced,35827,low,premium,no_restriction,vegetarian,lowest_cost,September,4,adventure_traveller,52,33,70,92,67,76,38,0,50,100,62,12,train
T000022,Ahmedabad,seniors,2,0,1,3,balanced,37920,medium,standard,no_restriction,no_preference,lowest_cost,December,3,balanced_traveller,73,51,74,58,60,75,52,45,51,62,38,64,test
T000023,Mumbai,friends,6,0,0,6,packed,40258,medium,standard,no_restriction,no_preference,lowest_cost,January,2,adventure_traveller,64,61,86,84,81,81,53,10,44,72,46,19,train
